[Header]
TITLE,CoS2 QA96 after toluene Puck 225 7-19-2026.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
4640565.25,,5905,,64.1546,0.08,9.2E-6,64.70584,1.2435132,3.9740858,0.006104,732.19908,0.9158,4706.2849,6.104,0.11270641,70.789786,0.089293252,99.035845,5098.1385,2.608,1,,,,6.6944638E-5,124.74717,4186.8457,0.06141773,0
4641087.03,,5905,,64.1535,0.08,9.2E-6,64.788262,1.3664878,3.9859108,0.004043,733.86646,0.9168,4719.7773,4.043,1.3111421,69.676706,0.076464061,99.161236,5099.5796,1.723,1,,,,6.8147332E-5,141.57957,4197.5188,0.061522114,0
4641598.7,,5905,,64.1544,0.08,9.3E-6,64.784762,1.3544937,3.9834268,0.00401,733.82837,0.9168,4717.2551,4.01,0.64343349,69.674972,0.076570442,99.160377,5100.3638,1.71,1,,,,6.8112961E-5,139.35341,4197.0654,0.061487094,0
4642569.75,,5905,,70.1112,0.08,9.2E-6,70.721556,1.3589895,4.5659865,0.005927,873.97636,1.037,5439.9629,5.927,0.25200824,77.799604,0.10168031,99.026871,5320.1136,2.3,1,,,,7.0407472E-5,139.34994,5001.5384,0.064562869,0
4643142.11,,5905,,70.1101,0.08,9.2E-6,70.802793,1.4873236,4.5761603,0.004871,875.90889,1.039,5452.0692,4.871,0.76932895,76.999088,0.089485646,99.135059,5322.2747,1.887,1,,,,7.1242667E-5,155.59921,5013.0355,0.064632482,0
4643711.59,,5905,,70.1094,0.08,9.2E-6,70.800016,1.4783266,4.5757148,0.004954,875.8679,1.039,5451.5827,4.954,0.5210826,77.019165,0.090660004,99.123926,5322.2386,1.919,1,,,,7.1223396E-5,153.99818,5012.6422,0.064628726,0
4644764.47,,5905,,76.6176,0.08,9.2E-6,77.264316,1.4802725,5.2270311,0.006705,1047.2224,1.188,6274.2535,6.705,0.18533729,84.90983,0.11541454,99.018677,5556.1583,2.374,1,,,,7.440209E-5,154.03833,5969.7746,0.067651295,0
4645385.67,,5905,,76.6175,0.08,9.2E-6,77.349156,1.6122013,5.2391902,0.005313,1049.5299,1.19,6288.7201,5.313,0.55422343,84.047277,0.10467098,99.101114,5557.9529,1.878,1,,,,7.5295246E-5,169.81966,5982.8919,0.06773429,0
4646001.02,,5905,,76.6177,0.08,9.2E-6,77.348176,1.6024519,5.2368759,0.005269,1049.5221,1.19,6286.3981,5.269,0.53727158,83.936598,0.1034014,99.11114,5558.7011,1.863,1,,,,7.5361305E-5,168.09455,5982.7403,0.067705228,0
4647126.73,,5905,,83.7309,0.08,9.2E-6,84.436009,1.6031312,5.9494682,0.00822,1272.4544,1.329,7221.9226,8.22,0.18071496,91.894307,0.13714323,98.967951,5815.4511,2.676,1,,,,7.914647E-5,167.8732,7129.4397,0.070461267,0
4647798.25,,5905,,83.7303,0.08,9.2E-6,84.528288,1.7425116,5.9640212,0.006194,1275.4955,1.331,7239.5167,6.194,0.65848951,90.874731,0.12214595,99.070817,5817.0677,2.012,1,,,,8.0172567E-5,183.78861,7145.0315,0.070556512,0
4648462.09,,5905,,83.7311,0.08,9.2E-6,84.525224,1.7304971,5.9628668,0.006137,1275.4052,1.33,7238.272,6.137,0.50073176,90.719616,0.12070725,99.080297,5817.2321,1.994,1,,,,8.0290574E-5,181.74946,7144.5134,0.070545413,0
4649662.19,,5905,,91.5047,0.08,9.2E-6,92.282772,1.7329185,6.7458061,0.008384,1532.3382,1.437,8278.1443,8.384,0.12901787,98.430915,0.15703178,98.93861,6095.2305,3.019,1,,,,8.4701143E-5,181.43923,8516.11,0.073099301,0
4650376.2,,5905,,91.5047,0.08,9.2E-6,92.379026,1.8774125,6.7590324,0.005901,1535.3462,1.439,8294.3786,5.901,0.3668135,97.385321,0.14241943,99.027336,6097.6055,1.774,1,,,,8.5727066E-5,196.86183,8533.8845,0.07316631,0
4651083.67,,5905,,91.5047,0.08,9.2E-6,92.377767,1.865206,6.7598414,0.006166,1535.32,1.438,8295.1614,6.166,0.24272944,97.251069,0.14119383,99.034314,6097.2792,1.853,1,,,,8.5849498E-5,194.77064,8533.6519,0.073176064,0
4652360.63,,5905,,100.001,0.08,9.2E-6,100.8651,1.9172975,7.4001098,0.009222,1811.2057,1.581,9211.3156,9.222,0.1099485,104.63812,0.18129123,98.899615,6459.6504,2.681,1,,,,8.8663453E-5,194.50214,10173.769,0.073366403,0
4653124.02,,5905,,100.001,0.08,9.2E-6,100.96747,2.0715215,7.4125697,0.00625,1814.7605,1.584,9227.3302,6.25,0.48477762,103.37181,0.16395721,98.993093,6462.5809,1.815,1,,,,8.985037E-5,209.27625,10194.429,0.073415429,0
4653879.95,,5905,,99.9996,0.08,9.2E-6,100.9642,2.0571813,7.4120096,0.006428,1814.6603,1.584,9226.6699,6.428,0.33990291,103.29804,0.16302643,98.998122,6462.5348,1.867,1,,,,8.9905132E-5,206.74362,10193.77,0.073412254,0
4655472.89,,5905,,110,0.08,9.2E-6,111.03226,2.2034495,8.4773316,0.01137,2190.8578,1.855,10668.189,11.37,0.39244888,111.13052,0.19014875,98.948531,6795.8472,3.035,1,,,,9.6642192E-5,213.58019,12328.163,0.076350167,0
4656280.73,,5905,,110,0.08,9.3E-6,111.06045,2.2413746,8.4818283,0.01087,2191.7044,1.855,10673.533,10.87,1.0789393,110.93943,0.18919236,98.951938,6796.3714,2.902,1,,,,9.6855059E-5,222.26103,12334.425,0.076371272,0
4657086.75,,5905,,109.996,0.08,9.2E-6,111.06381,2.2388445,8.4786911,0.01078,2191.8397,1.855,10670.531,10.78,0.80730786,110.77997,0.18250397,98.987894,6797.4148,2.879,1,,,,9.6944679E-5,221.87886,12335.17,0.07634072,0
4658428.14,,5905,,115.966,0.08,9.2E-6,116.99803,2.2649007,8.799838,0.007186,2416.1735,1.892,11216.012,7.186,0.069692517,113.91197,0.23010859,98.801395,7072.4162,1.924,1,,,,9.9198884E-5,221.55994,13688.539,0.075213556,0
4659255.48,,5905,,115.965,0.08,9.2E-6,117.07849,2.3810534,8.8010638,0.004377,2419.3319,1.892,11220.396,4.377,0.07782096,112.96608,0.2197648,98.846592,7076.951,1.173,1,,,,0.00010003983,227.82393,13707.372,0.07517234,0
4660079.16,,5905,,115.965,0.08,9.3E-6,117.07394,2.3719333,8.7968543,0.004964,2419.2027,1.892,11216.057,4.964,0.027868775,112.94635,0.21773613,98.857348,7077.8047,1.331,1,,,,0.00010001173,225.93217,13706.307,0.075139305,0
4661453.11,,5905,,122.255,0.08,9.2E-6,123.37362,2.4441294,8.8084103,0.007149,2657.8675,1.882,11466.278,7.149,0.080607915,112.45505,0.24983743,98.749427,7455.394,2.016,1,,,,0.00010272694,225.89271,15221.049,0.071396223,0
4662271.7,,5905,,122.254,0.08,9.3E-6,123.43551,2.5199239,8.8128712,0.005759,2660.4712,1.882,11473.342,5.759,0.072109563,111.48718,0.23419346,98.818018,7457.8756,1.624,1,,,,0.00010363957,224.9101,15236.326,0.071396561,0
