[Header]
TITLE,SmOHCO3 Puck 225 01-29-26.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
12911698.66,,5905,,2.5456,-0.08,9.2E-6,2.5421242,0.058308941,0.003979204,2.73E-5,0.37584504,0.002985,4.3550491,0.0273,0.35958716,1.7392652,0.0051498517,96.143197,2002.0679,4.558,1,,,,2.5880742E-6,3.9500201,6.4623955,0.0015653067,0
12911733.08,,5905,,2.545,-0.08,9.3E-6,2.5395991,0.055424475,0.0038558459,3.149E-5,0.37564385,0.002985,4.2314897,0.03149,0.66178327,1.7513113,0.0069624768,94.909002,2021.1849,5.473,1,,,,2.5242488E-6,3.4785304,6.4495634,0.0015182892,0
12911767.16,,5905,,2.5421,-0.08,9.2E-6,2.5397437,0.054208967,0.0040202513,3.844E-5,0.37569232,0.002985,4.3959436,0.03844,0.47931691,1.8074877,0.0070237438,94.844191,1993.3624,6.312,1,,,,2.5431021E-6,3.5026226,6.4502979,0.0015829358,0
12911908.44,,5905,,2.6565,-0.08,9.2E-6,2.6556608,0.060768866,0.0038220442,2.042E-5,0.4218895,0.002509,4.2439337,0.02042,1.5052421,1.5874046,0.0056600466,95.910413,2119.7645,3.76,1,,,,2.766306E-6,3.6149753,7.0525345,0.0014392065,0
12911941.97,,5905,,2.6562,-0.08,9.2E-6,2.6536614,0.057208632,0.0037657273,2.199E-5,0.42076777,0.002521,4.1864951,0.02199,1.50937,1.6070787,0.0062865796,95.546679,2128.6758,4.127,1,,,,2.7036725E-6,3.1748093,7.0419189,0.0014190685,0
12911975.33,,5905,,2.6564,-0.08,9.2E-6,2.6533075,0.056039577,0.00392065,2.615E-5,0.42062216,0.002523,4.3412722,0.02615,1.7649492,1.6512712,0.0065011526,95.360613,2099.9824,4.649,1,,,,2.7337985E-6,3.2141574,7.0400407,0.0014776463,0
12912118.3,,5905,,2.7746,-0.08,9.3E-6,2.7714903,0.063085121,0.003729187,1.887E-5,0.47477036,0.002389,4.2039574,0.01887,0.6907038,1.5014486,0.0052842701,96.410881,2230.432,3.749,1,,,,2.8822528E-6,3.3025424,7.6811583,0.001345553,0
12912152.19,,5905,,2.776,-0.08,9.2E-6,2.7693375,0.059273966,0.0037699338,1.999E-5,0.47380946,0.002379,4.2437432,0.01999,1.530524,1.5216481,0.0060467287,95.892818,2220.6406,3.911,1,,,,2.8835688E-6,3.0028972,7.6692303,0.0013613125,0
12912184.69,,5905,,2.7753,-0.08,9.2E-6,2.7699626,0.060507295,0.0037078339,1.911E-5,0.47412929,0.002382,4.1819631,0.01911,1.2934481,1.5237235,0.0064439589,95.682527,2233.4738,3.825,1,,,,2.8423499E-6,3.0432962,7.6726929,0.0013385862,0
12912322.81,,5905,,2.8948,-0.08,9.2E-6,2.8915284,0.06465332,0.0036359899,2.546E-5,0.52365267,0.003028,4.1596425,0.02546,0.47291294,1.3967694,0.0068407964,95.434674,2346.7527,5.453,1,,,,3.0874513E-6,3.047447,8.3609364,0.001257463,0
