[Header]
TITLE,Tm2O3 HP B-Type Puck 225 7-11-2026.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
3918868.39,,5905,,2.544,0.043,9.2E-6,2.5539982,0.051944838,0.08004565,0.0007732,0.33254425,0.002455,80.378194,0.7732,10.572758,29.729275,0.0053136754,95.458855,739.58602,2.366,1,,,,2.8312517E-6,60.476813,6.5229069,0.03134131,0
3919102.25,,5905,,2.5444,0.043,9.2E-6,2.5537298,0.05105085,0.080672165,0.0007621,0.33247202,0.002456,81.004637,0.7621,11.511408,29.570045,0.0051259325,95.565421,737.58891,2.308,1,,,,2.8655157E-6,59.458551,6.5215357,0.031589938,0
3919441.67,,5905,,2.6563,0.043,9.3E-6,2.6675437,0.053093655,0.082532956,0.0007848,0.36637505,0.001798,82.899331,0.7848,17.121861,28.921812,0.0050800971,95.837568,764.6272,2.408,1,,,,2.989741E-6,59.14009,7.1157894,0.030939683,0
3919668.83,,5905,,2.6556,0.043,9.2E-6,2.6687037,0.053397974,0.082038734,0.0007971,0.36681093,0.001791,82.405545,0.7971,7.2935025,28.46391,0.0053899268,95.530482,766.49273,2.466,1,,,,3.0293627E-6,57.843624,7.1219793,0.030741043,0
3919893.06,,5905,,2.6589,0.043,9.2E-6,2.6686669,0.053053426,0.081617324,0.0007308,0.36679328,0.001792,81.984117,0.7308,8.2281626,28.112334,0.0051700628,95.688092,767.7991,2.278,1,,,,3.0465708E-6,56.927819,7.1217832,0.030583556,0
3920220.75,,5905,,2.7764,0.043,9.3E-6,2.7847924,0.054571773,0.083787479,0.0008097,0.40223728,0.001928,84.189717,0.8097,6.9089795,27.376935,0.0051550874,95.872581,794.23151,2.542,1,,,,3.2063607E-6,56.224668,7.7550687,0.030087514,0
3920436.38,,5905,,2.7737,0.043,9.2E-6,2.7859588,0.054646706,0.083619016,0.0007839,0.40261752,0.001935,84.021634,0.7839,4.5561909,26.855523,0.0049369787,95.986963,795.09739,2.469,1,,,,3.2582312E-6,54.75387,7.7615662,0.030014449,0
3920650.05,,5905,,2.7733,0.043,9.3E-6,2.7856755,0.054156077,0.083252377,0.0007592,0.40253931,0.001934,83.654916,0.7592,4.804953,26.657096,0.004950045,95.962207,796.18191,2.406,1,,,,3.2689884E-6,53.711046,7.7599878,0.029885885,0
3920969.45,,5905,,2.8982,0.043,9.2E-6,2.9057892,0.0566973,0.08413883,0.0007583,0.44444069,0.002562,84.58327,0.7583,11.343845,26.033713,0.0053391526,95.912527,827.585,2.471,1,,,,3.3860291E-6,53.314192,8.443611,0.028955586,0
3921177.86,,5905,,2.8996,0.043,9.2E-6,2.9069299,0.056879625,0.084146577,0.0007927,0.44494411,0.002565,84.591521,0.7927,4.2933276,25.822634,0.0053535266,95.8705,827.88448,2.583,1,,,,3.4155208E-6,52.067426,8.4502417,0.028946889,0
