[Header]
TITLE,Eu2O3 LP_GA Puck 225 08-01-26.dat
BYAPP,HeatCapacity,3.9.11,1.7
INFO,1000,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,1,MOLWGHT:Formula Weight (g/mole)
INFO,1,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.11 Build 2,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (mJ/mole-K),Samp HC Err (mJ/mole-K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (mJ/mole-K/K),Addenda Offset HC (µJ/K)
5751563.08,,5905,,7.5124,0.033,9.2E-6,7.5480537,0.15508828,0.011193182,4.051E-5,6.9121387,0.01349,18.10532,0.04051,0.16195301,1.6469099,0.0053193783,98.635837,4211.1296,5.067,1,,,,1.1051811E-5,3.232962,56.973114,0.0014829229,0
5751598.81,,5905,,7.5015,0.033,9.2E-6,7.5488317,0.15592421,0.011041144,2.95E-5,6.9114787,0.01349,17.952623,0.0295,0.87949354,1.5666526,0.0025128074,99.323687,4230.8062,3.761,1,,,,1.1488785E-5,3.2938198,56.984861,0.0014626296,0
5751762.73,,5905,,7.8368,0.033,9.2E-6,7.8789102,0.15228578,0.012632407,4.527E-5,7.7386644,0.01718,20.371072,0.04527,0.22056535,1.73284,0.0053697408,98.68847,4221.9997,5.032,1,,,,1.1816152E-5,3.1333052,62.077226,0.0016033191,0
5751796.08,,5905,,7.8372,0.033,9.2E-6,7.8832892,0.16167628,0.012593115,3.614E-5,7.7518832,0.01724,20.344998,0.03614,1.4504789,1.7081677,0.0041338039,98.976309,4228.7352,4.037,1,,,,1.1957734E-5,3.46568,62.146249,0.0015974442,0
5751829.52,,5905,,7.8377,0.033,9.2E-6,7.8859929,0.15807499,0.012617378,4.037E-5,7.7556372,0.01726,20.373016,0.04037,0.18321862,1.6388908,0.0024706988,99.361511,4227.4721,4.499,1,,,,1.2461663E-5,3.4163354,62.188883,0.0015999734,0
5751989.89,,5905,,8.1878,0.033,9.2E-6,8.2298026,0.15634252,0.014291028,3.14E-5,8.6520031,0.01216,22.943032,0.0314,0.68582243,1.8279001,0.0051371239,98.806706,4232.3579,3.095,1,,,,1.2610559E-5,3.2777816,67.72965,0.0017364971,0
5752024.2,,5905,,8.1904,0.033,9.3E-6,8.2351036,0.16721443,0.014301225,2.983E-5,8.6680613,0.01223,22.969287,0.02983,2.7100525,1.8084536,0.004202071,99.013252,4234.0773,2.939,1,,,,1.2750248E-5,3.6558003,67.816932,0.0017366175,0
5752058.16,,5905,,8.1877,0.033,9.2E-6,8.2349598,0.16501569,0.014414267,3.155E-5,8.6668384,0.01222,23.081106,0.03155,1.371827,1.7998357,0.0041655028,99.015157,4222.9061,3.076,1,,,,1.2873869E-5,3.6169072,67.814563,0.0017503749,0
5752221.78,,5905,,8.5473,0.033,9.3E-6,8.5948562,0.16600211,0.016368518,3.576E-5,9.632133,0.01669,26.000651,0.03576,2.043305,1.9765013,0.0052121996,98.871861,4224.5745,3.072,1,,,,1.3214533E-5,3.5996714,73.871553,0.0019044551,0
5752257.33,,5905,,8.5543,0.033,9.2E-6,8.5994316,0.1734063,0.016352288,3.078E-5,9.6305061,0.01669,25.982794,0.03078,0.95945909,1.8680108,0.0026382694,99.395296,4228.2213,2.65,1,,,,1.3942903E-5,3.9530026,73.950223,0.0019015545,0
5752292.11,,5905,,8.543,0.033,9.2E-6,8.5965908,0.17045605,0.016445503,4.991E-5,9.6246274,0.01666,26.070131,0.04991,0.076299851,1.9496807,0.0042877606,99.057461,4218.8234,4.259,1,,,,1.3422229E-5,3.7360216,73.901374,0.0019130262,0
5752456.23,,5905,,8.9223,0.033,9.2E-6,8.9768874,0.17547369,0.018254623,3.931E-5,10.728855,0.01543,28.983479,0.03931,1.5366613,1.9926155,0.001984413,99.573221,4254.8309,3.05,1,,,,1.45702E-5,3.8993614,80.584507,0.0020335137,0
5752492.23,,5905,,8.9202,0.033,9.2E-6,8.9778456,0.17917228,0.018429911,4.651E-5,10.734702,0.01546,29.164614,0.04651,0.16728506,2.0582791,0.0028979181,99.395415,4241.7513,3.562,1,,,,1.4203882E-5,3.985231,80.601712,0.0020528211,0
5752528.08,,5905,,8.9216,0.033,9.2E-6,8.9793091,0.17934106,0.018550043,4.642E-5,10.737697,0.01548,29.287741,0.04642,0.12854577,1.9987252,0.003212606,99.308753,4233.2648,3.525,1,,,,1.4694193E-5,4.1165583,80.627992,0.0020658653,0
5752691.84,,5905,,9.3256,0.033,9.2E-6,9.3721081,0.18043724,0.020791369,4.096E-5,11.96534,0.01514,32.756709,0.04096,1.4940803,2.1907788,0.0042876458,99.157224,4253.6044,2.79,1,,,,1.5003383E-5,3.9974504,87.83641,0.0022184304,0
5752728.56,,5905,,9.3184,0.033,9.2E-6,9.3789801,0.18920616,0.020990656,5.002E-5,11.984629,0.01526,32.975285,0.05002,0.18556568,2.1683303,0.0039379846,99.21614,4243.2092,3.365,1,,,,1.5256459E-5,4.3815577,87.965268,0.0022380532,0
